region_N_lixi,region_dCorg,region_rdt
R02,R05,R01
R02,R08,R01
R01,R02,R01
R02,R05,R02
R02,R07,R01
R08,R07,R03
R01,R03,R01
R03,R01,R05
R02,R08,R02
R01,R02,R01
R02,R07,R02
R02,R05,R02
R07,R04,R04
R01,R03,R01
R02,R08,R06
R03,R01,R05
R05,R01,R03
R07,R04,R04
R06,R06,R01
R06,R03,R01
R03,R01,R03
R04,R02,R01
R05,R07,R02
R04,R04,R07
R01,R02,R01
R02,R08,R06
R03,R02,R05
R03,R01,R03
R01,R01,R01
R01,R01,R02
R05,R07,R03
R05,R02,R03
R06,R06,R03
R06,R03,R02
R02,R05,R01
R04,R07,R01
R02,R08,R06
R05,R04,R07
R01,R01,R01
R02,R08,R06
R06,R06,R01
R01,R01,R01
R04,R08,R06
R01,R02,R01
R07,R04,R04
R04,R02,R01
R02,R05,R01
R02,R08,R06
R05,R05,R02
R01,R03,R02
R03,R01,R03
R03,R02,R05
R02,R05,R01
R05,R01,R03
R02,R07,R01
R05,R06,R03
R03,R02,R05
R06,R06,R03
R05,R02,R02
R01,R01,R02
R05,R05,R02
R01,R02,R02
R01,R02,R01
R02,R07,R01
R01,R02,R01
R01,R01,R02
R05,R04,R03
R01,R04,R04
R01,R04,R04
R07,R04,R04
R06,R06,R02
R01,R03,R02
R01,R01,R02
R01,R02,R01
R03,R02,R03
R01,R03,R01
R01,R03,R02
R01,R01,R01
R02,R08,R06
R01,R02,R01
R05,R04,R03
R01,R02,R02
R01,R01,R01
R06,R06,R03
R03,R03,R03
R05,R04,R07
R08,R05,R03
R01,R02,R01
R04,R07,R01
R05,R07,R02
R01,R02,R02
R06,R06,R01
R03,R01,R05
R02,R08,R06
R01,R02,R01
R01,R01,R01
R07,R04,R04
R07,R04,R04
R01,R03,R01
R03,R03,R03
R04,R04,R07
R04,R02,R01
R06,R06,R02
R03,R03,R03
R01,R01,R01
R04,R04,R07
R03,R01,R03
R01,R01,R01
R01,R02,R02
R01,R01,R01
R03,R04,R08
R04,R04,R07
R01,R02,R01
R06,R06,R01
R02,R07,R01
R06,R06,R01
R01,R03,R02
R07,R04,R04
R01,R03,R01
R07,R04,R04
R01,R02,R02
R03,R04,R03
R04,R04,R07
R07,R04,R04
R06,R06,R01
R08,R08,R03
R02,R07,R01
R02,R07,R01
R04,R07,R01
R04,R05,R01
R04,R04,R07
R03,R02,R05
R07,R04,R04
R06,R06,R02
R05,R05,R02
R04,R05,R01
R06,R03,R03
R02,R05,R01
R04,R04,R07
R02,R07,R02
R01,R01,R01
R01,R02,R01
R01,R02,R01
R01,R02,R01
R02,R05,R03
R02,R05,R01
R03,R02,R03
R01,R01,R01
R07,R04,R04
R03,R04,R08
R03,R04,R05
R01,R02,R01
R04,R05,R01
R04,R04,R07
R04,R07,R01
R01,R03,R01
R01,R01,R01
R04,R08,R07
R06,R06,R01
R01,R03,R02
R04,R04,R07
R03,R01,R05
R05,R05,R02
R02,R05,R02
R04,R02,R01
R03,R02,R05
R04,R05,R01
R07,R04,R04
R06,R03,R03
R05,R02,R02
R03,R04,R08
R08,R05,R03
R01,R02,R01
R05,R08,R03
R07,R04,R04
R03,R01,R03
R06,R06,R03
R01,R01,R01
R04,R06,R01
R05,R08,R03
R06,R06,R01
R02,R07,R01
R06,R06,R03
R05,R05,R03
R06,R06,R01
R01,R02,R02
R03,R04,R08
R01,R03,R02
R01,R04,R01
R01,R02,R01
R05,R02,R02
R06,R06,R03
R01,R03,R01
R06,R06,R03
R07,R04,R04
R01,R01,R01
R05,R05,R02
R04,R08,R01
R02,R05,R03
R02,R05,R01
R07,R04,R04
R04,R05,R01
R05,R02,R02
R01,R04,R04
R01,R02,R01
R01,R02,R02
R03,R01,R05
R05,R07,R02
R03,R02,R05
R05,R04,R07
R02,R08,R06
R01,R02,R01
R01,R01,R02
R04,R02,R01
R02,R07,R01
R01,R01,R01
R01,R02,R01
R06,R06,R01
R06,R06,R01
R04,R05,R01
R01,R04,R01
R01,R03,R02
R01,R01,R02
R03,R02,R05
R04,R04,R07
R05,R04,R03
R01,R01,R01
R01,R01,R01
R02,R08,R02
R06,R06,R02
R04,R07,R01
R01,R03,R01
R01,R02,R01
R07,R04,R04
R04,R08,R01
R06,R03,R01
R02,R05,R01
R01,R01,R01
R03,R04,R08
R02,R07,R01
R02,R07,R02
R02,R05,R01
R03,R04,R03
R02,R05,R01
R01,R02,R01
R05,R01,R02
R04,R07,R01
R02,R06,R01
R01,R01,R01
R02,R05,R02
R03,R02,R05
R01,R01,R01
R01,R01,R02
R06,R06,R02
R06,R06,R03
R04,R04,R07
R08,R07,R03
R01,R04,R01
R01,R01,R01
R02,R07,R02
R01,R03,R01
R01,R01,R02
R01,R03,R01
R01,R01,R01
R01,R02,R01
R06,R06,R03
R01,R03,R02
R03,R04,R08
R01,R02,R02
R03,R04,R03
R05,R05,R03
R06,R06,R01
R01,R03,R02
R04,R01,R01
R01,R02,R01
R06,R06,R01
R03,R04,R03
R02,R07,R02
R05,R04,R03
R04,R08,R06
R05,R06,R02
R01,R01,R02
R03,R02,R05
R01,R02,R01
R01,R02,R01
R04,R07,R01
R01,R01,R02
R03,R03,R05
R03,R04,R08
R02,R06,R02
R01,R03,R02
R06,R06,R01
R03,R02,R05
R04,R02,R01
R04,R07,R01
R02,R05,R02
R05,R02,R02
R01,R02,R02
R02,R08,R06
R02,R05,R01
R02,R05,R01
R01,R02,R01
R03,R01,R05
R01,R02,R01
R01,R01,R02
R01,R01,R01
R06,R06,R01
R03,R03,R03
R06,R06,R03
R04,R06,R01
R03,R01,R03
R06,R06,R01
R03,R01,R03
R03,R01,R05
R04,R04,R07
R01,R04,R01
R01,R02,R01
R01,R02,R01
R01,R03,R02
R06,R03,R01
R03,R01,R03
R05,R01,R03
R01,R03,R01
R07,R04,R04
R01,R01,R01
R05,R02,R02
R03,R01,R03
R06,R06,R03
R01,R02,R02
R02,R08,R06
R06,R06,R03
R01,R03,R02
R07,R04,R04
R01,R03,R01
R02,R08,R01
R03,R04,R08
R06,R06,R02
R03,R02,R05
R06,R06,R01
R02,R08,R02
R04,R08,R06
R06,R06,R01
R06,R06,R01
R03,R01,R05
R08,R07,R03
R04,R01,R01
R07,R04,R04
R02,R07,R01
R05,R01,R02
R01,R03,R01
R03,R01,R03
R01,R02,R02
R03,R03,R03
R04,R07,R01
R04,R07,R01
R07,R04,R04
R01,R03,R02
R04,R05,R01
R01,R01,R01
R04,R02,R01
R08,R07,R03
R03,R01,R03
R07,R04,R04
R08,R05,R03
R05,R07,R02
R01,R01,R01
R01,R03,R01
R04,R05,R01
R06,R06,R03
R02,R07,R01
R02,R08,R06
R07,R04,R04
R05,R01,R02
R01,R01,R02
R04,R06,R01
R03,R03,R03
R08,R07,R03
R04,R08,R01
R01,R02,R02
R01,R01,R01
R06,R06,R01
R04,R05,R01
R06,R06,R02
R03,R03,R05
R01,R02,R01
R01,R03,R01
R04,R02,R01
R01,R02,R02
R03,R01,R03
R01,R02,R02
R04,R02,R01
R01,R01,R01
R02,R08,R06
R03,R01,R03
R02,R05,R01
R01,R02,R01
R08,R07,R03
R06,R06,R03
R01,R03,R01
R06,R06,R03
R04,R04,R01
R06,R03,R01
R06,R06,R03
R03,R03,R05
R03,R01,R05
R07,R04,R04
R04,R01,R01
R06,R03,R02
R05,R01,R02
R04,R02,R01
R01,R03,R01
R03,R01,R05
R03,R01,R03
R06,R03,R01
R06,R06,R01
R06,R03,R02
R04,R02,R01
R02,R07,R02
R05,R01,R03
R01,R03,R01
R01,R02,R02
R06,R06,R01
R04,R02,R01
R01,R01,R02
R04,R02,R01
R01,R01,R01
R05,R08,R03
R02,R07,R01
R01,R01,R01
R03,R03,R05
R07,R04,R04
R03,R01,R05
R04,R05,R01
R02,R05,R01
R01,R04,R01
R01,R03,R01
R03,R01,R05
R03,R03,R05
R07,R04,R04
R01,R03,R01
R06,R06,R01
R01,R02,R01
R03,R02,R05
R01,R02,R01
R01,R03,R02
R06,R06,R03
R01,R03,R01
R01,R01,R01
R06,R06,R03
R06,R06,R02
R03,R02,R05
R07,R04,R04
R01,R01,R02
R03,R02,R03
R01,R02,R02
R07,R04,R07
R01,R01,R01
R04,R01,R01
R03,R02,R03
R06,R03,R01
R06,R03,R03
R08,R08,R03
R01,R02,R02
R03,R01,R05
R06,R03,R02
R02,R07,R01
R01,R02,R01
R02,R08,R06
R01,R01,R01
R03,R02,R05
R01,R01,R02
R06,R06,R03
R01,R02,R01
R05,R05,R02
R03,R04,R03
R02,R08,R03
R01,R03,R02
R01,R04,R04
R01,R03,R01
R07,R04,R04
R03,R02,R05
R05,R02,R02
R06,R06,R03
R06,R06,R02
R01,R01,R01
R02,R05,R01
R01,R03,R01
R02,R07,R01
R01,R01,R01
R02,R07,R01
R06,R06,R03
R01,R02,R01
R02,R05,R02
R01,R03,R01
R05,R08,R06
R01,R03,R02
R02,R08,R01
R06,R06,R01
R01,R03,R01
R05,R04,R02
R04,R05,R01
R03,R03,R05
R05,R02,R03
R01,R02,R01
R03,R04,R03
R08,R05,R03
R02,R05,R01
R01,R01,R01
R01,R01,R01
R01,R02,R01
R02,R07,R01
R05,R02,R03
R03,R04,R08
R06,R06,R01
R01,R03,R01
R03,R01,R05
R07,R04,R04
R01,R03,R01
R03,R03,R03
R05,R06,R03
R05,R08,R02
R02,R07,R03
R03,R01,R05
R03,R02,R03
R01,R03,R01
R05,R01,R02
R02,R08,R06
R04,R01,R01
R03,R02,R03
R06,R03,R03
R05,R01,R02
R02,R07,R01
R03,R02,R05
R04,R02,R01
R06,R06,R01
R04,R05,R01
R02,R08,R06
R05,R07,R03
R03,R01,R05
R01,R02,R01
R01,R02,R01
R02,R07,R01
R04,R07,R01
R03,R01,R05
R04,R01,R01
R01,R01,R02
R01,R02,R01
R08,R07,R03
R01,R02,R01
R07,R04,R04
R02,R05,R01
R06,R03,R01
R02,R05,R01
R02,R08,R02
R01,R02,R01
R02,R07,R02
R02,R05,R01
R07,R04,R04
R02,R05,R01
R02,R07,R01
R03,R01,R05
R03,R02,R05
R03,R01,R05
R03,R04,R03
R04,R04,R07
R02,R05,R02
R04,R07,R01
R01,R03,R02
R01,R02,R01
R02,R08,R06
R06,R06,R03
R03,R02,R05
R01,R02,R01
R07,R04,R04
R02,R05,R01
R01,R03,R02
R02,R05,R01
R02,R07,R01
R01,R01,R01
R06,R06,R02
R05,R05,R02
R03,R01,R05
R02,R05,R01
R02,R07,R02
R02,R08,R06
R02,R08,R03
R01,R02,R01
R03,R03,R05
R01,R01,R01
R01,R03,R02
R06,R06,R03
R07,R04,R04
R01,R01,R01
R01,R03,R01
R01,R03,R01
R02,R08,R03
R03,R01,R05
R06,R06,R03
R01,R03,R02
R04,R04,R07
R01,R01,R01
R01,R02,R02
R01,R02,R02
R05,R01,R02
R05,R03,R03
R05,R02,R03
R03,R03,R05
R06,R06,R02
R06,R06,R01
R01,R01,R01
R01,R01,R02
R01,R01,R01
R04,R05,R01
R04,R02,R01
R01,R02,R01
R07,R04,R04
R05,R05,R02
R03,R03,R05
R07,R04,R04
R02,R05,R01
R06,R06,R02
R03,R01,R05
R03,R02,R03
R04,R02,R01
R01,R01,R01
R06,R06,R03
R07,R04,R04
R02,R05,R03
R07,R04,R04
R03,R04,R03
R07,R04,R07
R05,R07,R02
R02,R05,R02
R07,R04,R04
R05,R01,R03
R01,R03,R01
R04,R04,R01
R08,R07,R03
R05,R03,R02
R06,R06,R01
R04,R01,R01
R04,R08,R01
R02,R07,R02
R02,R08,R06
R04,R02,R01
R01,R02,R02
R05,R06,R02
R01,R02,R01
R02,R07,R02
R03,R01,R05
R08,R07,R03
R06,R06,R02
R01,R02,R01
R05,R05,R03
R05,R04,R07
R01,R03,R01
R04,R07,R01
R05,R05,R02
R06,R03,R02
R03,R01,R05
R03,R01,R03
R01,R02,R01
R01,R01,R02
R03,R03,R05
R01,R01,R01
R05,R05,R02
R01,R01,R01
R05,R07,R02
R01,R01,R02
R07,R04,R04
R06,R06,R02
R01,R02,R02
R03,R01,R05
R03,R02,R05
R01,R03,R01
R04,R08,R06
R06,R03,R01
R03,R01,R03
R01,R01,R01
R03,R01,R05
R01,R03,R02
R01,R01,R01
R05,R02,R03
R03,R02,R03
R03,R02,R05
